[GEO] Natural Earth 10m Coastline
N008.15.35.985 W082.20.33.946 N008.16.03.085 W082.20.33.946 COLOR_Coastline
N008.16.03.085 W082.20.33.946 N008.15.46.385 W082.19.37.403 COLOR_Coastline
N008.15.46.385 W082.19.37.403 N008.16.03.231 W082.19.01.954 COLOR_Coastline
N008.16.03.231 W082.19.01.954 N008.16.38.387 W082.18.59.464 COLOR_Coastline
N008.16.38.387 W082.18.59.464 N008.17.16.766 W082.19.42.530 COLOR_Coastline
N008.17.16.766 W082.19.42.530 N008.17.37.128 W082.21.00.020 COLOR_Coastline
N008.17.37.128 W082.21.00.020 N008.15.25.731 W082.24.06.934 COLOR_Coastline
N008.15.25.731 W082.24.06.934 N008.15.35.985 W082.25.28.819 COLOR_Coastline
N008.15.35.985 W082.25.28.819 N008.15.35.985 W082.25.51.231 COLOR_Coastline
N008.15.35.985 W082.25.51.231 N008.14.47.645 W082.25.28.966 COLOR_Coastline
N008.14.47.645 W082.25.28.966 N008.13.51.688 W082.24.45.020 COLOR_Coastline
N008.13.51.688 W082.24.45.020 N008.13.05.546 W082.23.54.044 COLOR_Coastline
N008.13.05.546 W082.23.54.044 N008.12.46.356 W082.23.11.270 COLOR_Coastline
N008.12.46.356 W082.23.11.270 N008.13.00.712 W082.22.10.919 COLOR_Coastline
N008.13.00.712 W082.22.10.919 N008.14.06.337 W082.20.05.528 COLOR_Coastline
N008.14.06.337 W082.20.05.528 N008.14.24.647 W082.18.53.311 COLOR_Coastline
N008.14.24.647 W082.18.53.311 N008.15.35.985 W082.20.33.946 COLOR_Coastline
N008.18.30.594 W079.05.38.634 N008.18.42.313 W079.05.41.563 COLOR_Coastline
N008.18.42.313 W079.05.41.563 N008.19.02.629 W079.06.01.342 COLOR_Coastline
N008.19.02.629 W079.06.01.342 N008.19.06.663 W079.06.17.593 COLOR_Coastline
N008.19.06.663 W079.06.17.593 N008.19.02.671 W079.06.44.751 COLOR_Coastline
N008.19.02.671 W079.06.44.751 N008.18.11.740 W079.07.28.199 COLOR_Coastline
N008.18.11.740 W079.07.28.199 N008.17.14.075 W079.07.45.879 COLOR_Coastline
N008.17.14.075 W079.07.45.879 N008.16.39.190 W079.07.32.339 COLOR_Coastline
N008.16.39.190 W079.07.32.339 N008.15.50.911 W079.07.47.297 COLOR_Coastline
N008.15.50.911 W079.07.47.297 N008.15.24.085 W079.07.50.031 COLOR_Coastline
N008.15.24.085 W079.07.50.031 N008.15.26.777 W079.08.13.102 COLOR_Coastline
N008.15.26.777 W079.08.13.102 N008.14.39.825 W079.08.24.009 COLOR_Coastline
N008.14.39.825 W079.08.24.009 N008.12.32.334 W079.07.21.752 COLOR_Coastline
N008.12.32.334 W079.07.21.752 N008.12.37.689 W079.06.34.270 COLOR_Coastline
N008.12.37.689 W079.06.34.270 N008.13.26.131 W079.06.31.255 COLOR_Coastline
N008.13.26.131 W079.06.31.255 N008.13.43.603 W079.06.17.594 COLOR_Coastline
N008.13.43.603 W079.06.17.594 N008.13.47.567 W079.05.54.636 COLOR_Coastline
N008.13.47.567 W079.05.54.636 N008.14.18.497 W079.05.54.410 COLOR_Coastline
N008.14.18.497 W079.05.54.410 N008.14.39.848 W079.06.16.301 COLOR_Coastline
N008.14.39.848 W079.06.16.301 N008.15.10.654 W079.06.13.637 COLOR_Coastline
N008.15.10.654 W079.06.13.637 N008.15.34.851 W079.05.28.600 COLOR_Coastline
N008.15.34.851 W079.05.28.600 N008.15.17.381 W079.04.49.407 COLOR_Coastline
N008.15.17.381 W079.04.49.407 N008.15.25.383 W079.04.11.496 COLOR_Coastline
N008.15.25.383 W079.04.11.496 N008.15.38.736 W079.03.56.668 COLOR_Coastline
N008.15.38.736 W079.03.56.668 N008.15.52.173 W079.04.15.571 COLOR_Coastline
N008.15.52.173 W079.04.15.571 N008.15.57.568 W079.04.33.110 COLOR_Coastline
N008.15.57.568 W079.04.33.110 N008.16.27.071 W079.04.58.805 COLOR_Coastline
N008.16.27.071 W079.04.58.805 N008.17.44.794 W079.05.15.018 COLOR_Coastline
N008.17.44.794 W079.05.15.018 N008.18.30.594 W079.05.38.634 COLOR_Coastline
N008.36.36.337 W061.00.59.288 N008.36.39.559 W061.01.18.477 COLOR_Coastline
N008.36.39.559 W061.01.18.477 N008.36.24.618 W061.05.12.266 COLOR_Coastline
N008.36.24.618 W061.05.12.266 N008.36.09.676 W061.05.54.454 COLOR_Coastline
N008.36.09.676 W061.05.54.454 N008.34.21.278 W061.07.34.942 COLOR_Coastline
N008.34.21.278 W061.07.34.942 N008.34.09.413 W061.07.42.706 COLOR_Coastline
N008.34.09.413 W061.07.42.706 N008.33.55.350 W061.07.59.405 COLOR_Coastline
N008.33.55.350 W061.07.59.405 N008.33.35.135 W061.08.16.251 COLOR_Coastline
N008.33.35.135 W061.08.16.251 N008.33.06.278 W061.08.24.015 COLOR_Coastline
N008.33.06.278 W061.08.24.015 N008.33.02.469 W061.08.17.423 COLOR_Coastline
N008.33.02.469 W061.08.17.423 N008.32.03.729 W061.07.34.942 COLOR_Coastline
N008.32.03.729 W061.07.34.942 N008.32.37.860 W061.08.53.458 COLOR_Coastline
N008.32.37.860 W061.08.53.458 N008.34.10.731 W061.10.48.888 COLOR_Coastline
N008.34.10.731 W061.10.48.888 N008.34.33.583 W061.12.05.352 COLOR_Coastline
N008.34.33.583 W061.12.05.352 N008.34.17.762 W061.13.39.395 COLOR_Coastline
N008.34.17.762 W061.13.39.395 N008.33.26.200 W061.14.45.899 COLOR_Coastline
N008.33.26.200 W061.14.45.899 N008.32.12.665 W061.15.33.946 COLOR_Coastline
N008.32.12.665 W061.15.33.946 N008.30.52.391 W061.16.13.350 COLOR_Coastline
N008.30.52.391 W061.16.13.350 N008.30.57.811 W061.13.58.145 COLOR_Coastline
N008.30.57.811 W061.13.58.145 N008.30.25.438 W061.07.34.942 COLOR_Coastline
N008.30.25.438 W061.07.34.942 N008.31.06.747 W061.02.29.669 COLOR_Coastline
N008.31.06.747 W061.02.29.669 N008.31.43.075 W061.02.37.579 COLOR_Coastline
N008.31.43.075 W061.02.37.579 N008.32.30.975 W061.03.07.169 COLOR_Coastline
N008.32.30.975 W061.03.07.169 N008.33.19.755 W061.03.02.335 COLOR_Coastline
N008.33.19.755 W061.03.02.335 N008.32.35.223 W061.01.39.718 COLOR_Coastline
N008.32.35.223 W061.01.39.718 N008.33.12.723 W061.00.20.470 COLOR_Coastline
